email,description
Venus_Williams@usta.net,shoes
Tom_Hanks@thk.com,shoes
Sandra_Bullock@blk.com,shoes
Roger_Federer@swta.net,shoes
Rafael_Nadal@sta.net,shoes
Nicholas_Cage@ncg.com,shoes
Michael_Phelps@uss.net,shoes
John_Travolta@jtv.com,shoes
Bruce_Willis@bws.com,shoes
Venus_Williams@usta.net,speakers
Tom_Hanks@thk.com,speakers
Sandra_Bullock@blk.com,speakers
Rafael_Nadal@sta.net,speakers
Nicholas_Cage@ncg.com,speakers
Michael_Phelps@uss.net,speakers
John_Travolta@jtv.com,speakers
David_Beckham@uks.net,speakers
Bruce_Willis@bws.com,speakers
Venus_Williams@usta.net,bats
Tom_Hanks@thk.com,bats
Sandra_Bullock@blk.com,bats
Roger_Federer@swta.net,bats
Rafael_Nadal@sta.net,bats
Nicholas_Cage@ncg.com,bats
Michael_Phelps@uss.net,bats
Julia_Roberts_@rbt.com,bats
John_Travolta@jtv.com,bats
Bruce_Willis@bws.com,bats
Venus_Williams@usta.net,hoodies
Tom_Hanks@thk.com,hoodies
Serena_Williams@usta.net,hoodies
Sandra_Bullock@blk.com,hoodies
Rafael_Nadal@sta.net,hoodies
Nicholas_Cage@ncg.com,hoodies
Morgan_Freeman@morgan.com,hoodies
Michael_Phelps@uss.net,hoodies
Justin_Timberlake@tlk.com,hoodies
Julia_Roberts_@rbt.com,hoodies
John_Travolta@jtv.com,hoodies
Bruce_Willis@bws.com,hoodies
Venus_Williams@usta.net,caps
Tom_Hanks@thk.com,caps
Sandra_Bullock@blk.com,caps
Roger_Federer@swta.net,caps
Rafael_Nadal@sta.net,caps
Nicholas_Cage@ncg.com,caps
Morgan_Freeman@morgan.com,caps
Julia_Roberts_@rbt.com,caps
John_Travolta@jtv.com,caps
Bruce_Willis@bws.com,caps
Venus_Williams@usta.net,pens
Tom_Hanks@thk.com,pens
Serena_Williams@usta.net,pens
Sandra_Bullock@blk.com,pens
Roger_Federer@swta.net,pens
Rafael_Nadal@sta.net,pens
Nicholas_Cage@ncg.com,pens
Michael_Phelps@uss.net,pens
Justin_Timberlake@tlk.com,pens
Julia_Roberts_@rbt.com,pens
John_Travolta@jtv.com,pens
Bruce_Willis@bws.com,pens
Venus_Williams@usta.net,games
Tom_Hanks@thk.com,games
Sandra_Bullock@blk.com,games
Roger_Federer@swta.net,games
Rafael_Nadal@sta.net,games
Nicholas_Cage@ncg.com,games
Michael_Phelps@uss.net,games
Justin_Timberlake@tlk.com,games
Julia_Roberts_@rbt.com,games
John_Travolta@jtv.com,games
Venus_Williams@usta.net,CDs
Tom_Hanks@thk.com,CDs
Sandra_Bullock@blk.com,CDs
Rafael_Nadal@sta.net,CDs
Nicholas_Cage@ncg.com,CDs
Morgan_Freeman@morgan.com,CDs
Michael_Phelps@uss.net,CDs
Justin_Timberlake@tlk.com,CDs
Bruce_Willis@bws.com,CDs
Tom_Hanks@thk.com,teddys
Serena_Williams@usta.net,teddys
Sandra_Bullock@blk.com,teddys
Roger_Federer@swta.net,teddys
Rafael_Nadal@sta.net,teddys
Nicholas_Cage@ncg.com,teddys
Morgan_Freeman@morgan.com,teddys
Michael_Phelps@uss.net,teddys
Justin_Timberlake@tlk.com,teddys
Julia_Roberts_@rbt.com,teddys
John_Travolta@jtv.com,teddys
Bruce_Willis@bws.com,teddys
