email,min_sentiment,max_sentiment,avg_confidence
Tom_Chrysler@gmail.com,-1,-1,7.0000
Sam_Goldstein@yahoo.com,-3,-3,7.0000
Roger_Lomet@msn.com,-1,-1,7.0000
Betty_Lomet@yahoo.com,-2,-2,7.0000
George_Smith@hotmail.com,1,1,7.0000
Erie_Karipova@msn.com,1,1,7.0000
Charles_Chrysler@yahoo.com,3,3,7.0000
George_Goldstein@gmail.com,1,3,6.5000
Emma_Parker@hotmail.com,-3,1,6.5000
Gina_Parker@hotmail.com,-1,2,6.4000
George_Lomet@msn.com,-1,3,6.3333
Nadir_Wood@msn.com,-3,-3,6.3333
John_Wood@yahoo.com,-3,-3,6.3333
Jeremy_Carey@msn.com,-3,1,6.2500
Sam_Li@msn.com,-2,1,6.0000
Sam_Larson@yahoo.com,3,3,6.0000
John_Chrysler@hotmail.com,-2,-2,6.0000
Gina_Toddbridge@msn.com,2,2,6.0000
Betty_Helibron@yahoo.com,2,2,6.0000
Bruno_Karipova@yahoo.com,-3,1,6.0000
Emma_Smith@hotmail.com,2,3,6.0000
Elena_Parker@yahoo.com,-1,3,6.0000
Denny_Toddbridge@hotmail.com,1,1,6.0000
Denny_Keit@yahoo.com,2,3,6.0000
David_Parker@msn.com,-2,3,5.8000
Charles_Peterson@msn.com,-2,2,5.8000
Mandy_Wood@msn.com,-3,2,5.7500
Albert_Carey@msn.com,-1,-1,5.6667
Tom_Wood@msn.com,-3,-1,5.6667
Kitty_Toddbridge@msn.com,2,3,5.6667
Jeremy_Parker@msn.com,-2,-1,5.6667
Gina_Carey@gmail.com,1,1,5.6667
George_Parker@hotmail.com,-2,-2,5.6667
Emma_DSouza@msn.com,-1,-1,5.6667
Bruno_Smith@msn.com,3,3,5.6667
Christy_Li@msn.com,-3,-2,5.6000
Peter_Karipova@hotmail.com,3,3,5.5000
Mike_Keit@hotmail.com,-3,3,5.5000
Denny_Karipova@yahoo.com,-3,-2,5.5000
Gina_Larson@msn.com,2,2,5.5000
Charles_Parker@msn.com,-3,1,5.5000
Sarena_Carey@hotmail.com,-2,1,5.4000
Monica_Toddbridge@gmail.com,1,3,5.4000
Alex_Keit@gmail.com,-3,1,5.4000
Charles_Karipova@msn.com,-2,-2,5.3333
Tom_Carey@msn.com,-3,-3,5.3333
Sam_Peterson@hotmail.com,-1,-1,5.3333
Albert_Smith@msn.com,-3,-2,5.3333
Christy_Lomet@yahoo.com,-3,2,5.3333
Monica_DSouza@msn.com,-2,-2,5.3333
Monica_Keit@yahoo.com,2,3,5.3333
Bruno_Keit@gmail.com,2,3,5.2500
Erie_DSouza@hotmail.com,-3,3,5.0000
Albert_Karipova@gmail.com,-2,-2,5.0000
Bruno_Parker@hotmail.com,-2,2,5.0000
Mandy_Smith@gmail.com,-1,1,5.0000
Nadir_Li@gmail.com,-2,1,5.0000
Mary_Smith@gmail.com,2,2,5.0000
Nadir_Helibron@gmail.com,-2,1,5.0000
Charles_DSouza@gmail.com,1,1,5.0000
Elena_DSouza@gmail.com,-2,3,4.8333
Tina_Keit@msn.com,-1,3,4.8000
Gabriela_Li@hotmail.com,-1,1,4.7500
Sarena_Li@gmail.com,-3,-2,4.7500
Betty_Wood@yahoo.com,-3,2,4.7500
Sam_Helibron@yahoo.com,1,1,4.7500
Roger_DSouza@yahoo.com,-1,3,4.7500
Emma_Goldstein@yahoo.com,1,2,4.6667
Albert_Larson@hotmail.com,-3,3,4.6667
Sam_DSouza@msn.com,2,2,4.6667
Jeremy_Goldstein@hotmail.com,-1,2,4.6667
Roger_Larson@yahoo.com,-2,1,4.6667
Peter_Keit@msn.com,3,3,4.6667
Denny_Goldstein@msn.com,-3,3,4.6000
Monica_Lomet@hotmail.com,-2,3,4.5000
Celina_Toddbridge@gmail.com,3,3,4.5000
Alex_Carey@gmail.com,-2,2,4.5000
Kitty_Helibron@hotmail.com,1,1,4.5000
Sarena_DSouza@msn.com,3,3,4.5000
Elena_Chrysler@msn.com,-1,3,4.4000
Alex_Peterson@gmail.com,-2,2,4.3333
Celina_Parker@gmail.com,-2,1,4.3333
Albert_Helibron@yahoo.com,-3,-3,4.3333
Bruno_Lomet@gmail.com,1,2,4.2500
Alex_Larson@gmail.com,-3,-1,4.2500
Bruno_Li@msn.com,1,2,4.2000
Nadir_Toddbridge@hotmail.com,-3,-3,4.0000
Denny_Larson@yahoo.com,-3,-3,4.0000
Roger_Carey@msn.com,-1,1,4.0000
Alex_Wood@yahoo.com,3,3,4.0000
Betty_Chrysler@yahoo.com,-1,-1,4.0000
Christy_Helibron@hotmail.com,-1,-1,4.0000
Celina_Larson@yahoo.com,-2,-2,4.0000
Nadir_Karipova@msn.com,-2,3,3.7500
Albert_Li@gmail.com,1,1,3.7500
John_Parker@yahoo.com,2,2,3.6667
Gina_Smith@msn.com,-3,-1,3.6667
Nadir_Goldstein@yahoo.com,-2,-2,3.0000
Gina_Helibron@gmail.com,3,3,3.0000
